,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
104,Thompson,CA,1549036800,55.74,-97.86,-11.21,76,75,6.93
105,Vila do Maio,CV,1549036800,15.13,-23.22,77.0,57,40,23.04
106,Visby,SE,1549039800,57.64,18.3,33.8,100,75,5.82
107,Pisco,PE,1549036800,-13.71,-76.2,71.6,30,40,6.93
108,Kusa,RU,1549041298,55.34,59.45,9.65,73,44,4.27
109,Port Hedland,AU,1549038600,-20.31,118.58,84.2,79,0,9.17
110,Yellowknife,CA,1549036800,62.45,-114.38,-34.61,65,20,3.36
111,Akdepe,TM,1549038600,42.05,59.39,32.0,79,0,4.7
112,Cape Town,ZA,1549040400,-33.93,18.42,80.6,47,0,17.22
113,Khatanga,RU,1549041299,71.98,102.47,-25.32,39,68,11.65
114,Kandrian,PG,1549041300,-6.21,149.55,76.25,100,36,2.26
115,Sitka,US,1549041300,37.17,-99.65,47.81,61,0,4.72
116,Tingi,TZ,1549041300,-11.3,35.03,77.78,100,0,2.71
117,Kalat,PK,1549041300,29.03,66.58,19.69,95,0,1.25
118,Colac,AU,1549041301,-38.34,143.59,56.54,92,0,3.38
119,Maniitsoq,GL,1549041303,65.42,-52.9,21.13,90,88,15.23
120,Bilibino,RU,1549041303,68.06,166.44,-24.55,35,44,2.37
121,Port Keats,AU,1549041303,-14.25,129.55,85.43,81,36,16.02
122,Codrington,AU,1549038600,-28.95,153.24,69.8,94,90,3.94
123,Jintur,IN,1549041304,19.61,76.69,59.15,75,0,1.7
124,Mackay,CA,1549039140,53.65,-115.58,-0.41,84,90,9.17
125,Lerwick,GB,1549039800,60.15,-1.15,39.2,80,40,2.24
126,Fortuna,ES,1549038600,38.18,-1.13,64.4,29,20,14.99
127,Cabedelo,BR,1549040400,-6.97,-34.84,87.8,55,20,14.99
128,Bathsheba,BB,1549036800,13.22,-59.52,80.6,65,40,18.34
129,Nizhnedevitsk,RU,1549038600,51.55,38.36,21.2,92,90,4.47
130,Avarua,CK,1549040400,-21.21,-159.78,77.0,94,75,8.05
131,Port Moresby,PG,1549036800,-9.47,147.16,77.0,83,90,14.99
132,Delijan,IR,1549041307,33.99,50.69,32.78,49,0,3.6
133,Anadyr,RU,1549036800,64.73,177.51,19.4,79,88,22.37
134,Talaya,RU,1549038600,55.79,84.89,-34.61,65,20,4.47
135,Onufriyivka,UA,1549041308,48.91,33.45,30.35,94,24,6.73
136,San Juan,PH,1549036800,14.6,121.03,75.2,73,20,6.93
137,Lagoa,PT,1549038600,37.14,-8.45,55.4,76,40,23.04
138,Alta Floresta,BR,1549036800,-9.87,-56.08,89.6,59,20,2.24
139,Barrow,AR,1549041311,-38.31,-60.23,76.88,67,0,8.97
140,Norman Wells,CA,1549036800,65.28,-126.83,-13.01,75,75,17.22
141,Esperance,TT,1549036800,10.24,-61.45,86.0,48,20,13.87
142,Kamaishi,JP,1549041312,39.28,141.86,31.88,69,12,13.22
143,Pangnirtung,CA,1549036800,66.15,-65.72,14.0,40,90,17.22
144,Lavrentiya,RU,1549041312,65.58,-170.99,9.16,78,44,16.35
145,Milford,US,1549038900,40.77,-97.05,39.2,64,1,9.17
146,Vestmanna,FO,1549039800,62.16,-7.17,33.8,69,80,17.22
147,Gladstone,AU,1549038600,-23.84,151.26,75.2,78,40,6.93
148,Kahului,US,1549036800,20.89,-156.47,68.0,96,40,14.99
149,Leshukonskoye,RU,1549041314,64.9,45.76,17.12,85,92,3.15
150,Riverton,US,1549040100,43.02,-108.38,28.4,71,1,3.27
151,Cap Malheureux,MU,1549040400,-19.98,57.61,80.6,83,40,14.99
152,Kodinsk,RU,1549041315,58.6,99.18,-31.12,0,24,2.71
153,Saldanha,PT,1549041315,41.42,-6.55,39.17,86,92,18.03
154,Le Vauclin,MQ,1549038600,14.55,-60.84,82.4,78,75,9.17
155,Bijie,CN,1549041316,27.3,105.3,30.8,89,0,2.15
156,Parana,BR,1549040400,-7.52,-72.89,82.4,78,75,2.71
157,Bereda,ES,1549038600,43.27,-7.54,50.0,66,75,25.28
158,Half Moon Bay,US,1549040400,37.46,-122.43,55.94,82,20,13.87
159,Saint-Georges,CA,1549041317,46.12,-70.67,6.05,47,48,10.42
160,Hervey Bay,AU,1549036800,-25.3,152.85,73.4,83,75,10.29
161,Bosanci,HR,1549038600,45.44,15.26,55.4,81,68,6.93
162,Sokolo,ML,1549041319,14.74,-6.12,89.03,30,0,2.93
163,Tuktoyaktuk,CA,1549036800,69.44,-133.03,-29.21,66,5,4.7
164,Mandla,IN,1549041320,22.6,80.37,53.03,73,8,2.59
165,Kachiry,KZ,1549041320,53.07,76.1,-13.75,64,56,8.97
166,South Lake Tahoe,US,1549040100,38.93,-119.98,37.94,92,1,3.36
167,Shingu,JP,1549041320,33.72,135.99,45.56,100,0,15.79
168,Yining,CN,1549041321,29.04,114.56,29.68,93,20,2.37
169,Matay,EG,1549041321,28.42,30.79,50.96,56,0,3.15
170,Itarema,BR,1549041321,-2.92,-39.92,77.56,100,68,4.5
171,Atakpame,TG,1549041322,7.53,1.13,80.53,74,68,3.71
172,Kampot,KH,1549038600,10.62,104.18,80.6,78,20,2.24
173,Katsuura,JP,1549040400,33.93,134.5,37.4,69,20,9.17
174,Husavik,CA,1549041323,50.56,-96.99,4.21,87,92,4.16
175,Ponerihouen,NC,1549041323,-21.08,165.4,75.76,100,80,22.95
176,Williston,US,1549040160,48.15,-103.62,35.96,74,1,8.05
177,Vidim,CZ,1549039080,50.47,14.53,35.6,80,75,12.75
178,Atar,MR,1549041324,20.52,-13.05,80.84,18,0,5.06
179,Sao Joao da Barra,BR,1549040400,-21.64,-41.05,91.4,43,0,20.8
180,Jalu,LY,1549041325,29.03,21.55,60.05,30,20,3.49
181,Abu Kamal,SY,1549041325,34.45,40.92,48.98,72,88,4.94
182,Cabo San Lucas,MX,1549039620,22.89,-109.91,68.0,60,75,5.82
183,Ilulissat,GL,1549039800,69.22,-51.1,10.4,43,75,3.36
184,East London,ZA,1549036800,-33.02,27.91,69.8,73,40,10.29
185,Palmer,AU,1549038600,-34.85,139.16,59.0,58,0,2.71
186,Kudahuvadhoo,MV,1549041327,2.67,72.89,82.37,99,92,14.12
187,Guerrero Negro,MX,1549041327,27.97,-114.04,60.91,82,80,2.93
188,Chibombo,ZM,1549041327,-14.68,28.09,66.17,96,48,3.27
189,Torbay,CA,1549039860,47.66,-52.73,17.6,78,75,24.16
190,Zabol,IR,1549040400,31.03,61.49,53.6,30,0,9.17
191,Hami,CN,1549041328,42.84,93.51,9.61,65,80,2.59
192,Sabha,LY,1549041328,27.03,14.43,65.27,24,8,9.42
193,Leningradskiy,RU,1549041329,69.38,178.42,-7.95,80,36,10.87
194,Joensuu,FI,1549039800,62.6,29.76,-5.81,83,0,9.42
195,Nikolskoye,RU,1549038600,59.7,30.79,26.6,86,90,17.9
196,Erzin,TR,1549039800,36.95,36.2,53.6,76,75,6.93
197,Haimen,CN,1549041330,31.87,121.18,35.44,99,0,12.21
198,Labuhan,ID,1549041331,-2.54,115.51,71.84,98,76,2.37
199,Guangyuan,CN,1549041331,32.43,105.86,37.46,99,92,2.37
200,Bastia,IT,1549039800,44.6,8.98,41.0,80,75,8.05
201,Raudeberg,NO,1549039800,61.99,5.14,37.4,44,20,19.46
202,Torres,BR,1549041332,-29.34,-49.73,83.72,83,8,3.94
203,Clacton-on-Sea,GB,1549039800,51.79,1.16,37.4,93,75,11.41
204,Pevek,RU,1549041333,69.7,170.27,-12.4,99,36,8.86
205,Portland,US,1549036560,45.52,-122.67,42.98,79,90,11.41
206,Zhigansk,RU,1549041333,66.77,123.37,-45.07,0,0,2.37
207,Hilo,US,1549036380,19.71,-155.08,64.04,87,1,5.82
208,Norsup,VU,1549041334,-16.07,167.38,77.83,98,88,6.73
209,Provideniya,RU,1549041334,64.42,-173.23,13.25,100,92,31.34
210,Foster City,US,1549040400,37.56,-122.27,55.94,77,75,8.75
211,Hanstholm,DK,1549041336,57.12,8.61,33.68,100,12,16.24
212,Namibe,AO,1549036800,-15.19,12.15,77.0,78,90,6.93
213,Ulladulla,AU,1549038600,-35.36,150.48,64.4,100,90,1.12
214,Holetown,BB,1549036800,13.19,-59.64,80.6,65,40,18.34
215,Cabo Rojo,PR,1549036200,18.09,-67.15,80.6,74,40,16.11
216,Bourail,NC,1549041338,-21.57,165.5,71.66,95,24,7.18
217,Taoudenni,ML,1549041338,22.68,-3.98,72.88,21,0,6.06
218,Sambava,MG,1549041338,-14.27,50.17,78.46,100,88,16.46
219,Namatanai,PG,1549041339,-3.66,152.44,83.09,100,8,8.19
220,Yulara,AU,1549036800,-25.24,130.99,89.6,35,0,10.29
221,Datong,CN,1549041340,40.09,113.3,6.41,62,56,2.82
222,Kazachinskoye,RU,1549041340,57.69,93.28,-28.47,46,24,5.61
223,Pyapon,MM,1549041340,16.29,95.68,71.12,95,0,3.38
224,Usvyaty,RU,1549041341,55.75,30.75,33.14,96,92,9.86
225,Kalmunai,LK,1549041342,7.42,81.82,75.44,95,76,6.29
226,Narsaq,GL,1549039800,60.91,-46.05,26.6,53,75,53.02
227,Ayan,TR,1549041343,40.67,33.6,31.16,91,24,4.94
228,Aleksandrov Gay,RU,1549041344,50.14,48.57,12.76,86,80,7.18
229,Japura,ID,1549041344,-0.42,102.29,73.33,95,56,1.59
230,Marawi,PH,1549041345,8.0,124.29,59.42,99,36,2.37
231,Salinopolis,BR,1549041345,-0.61,-47.36,80.48,100,80,10.65
232,Sorrento,AU,1549038600,-31.82,115.75,69.8,77,0,8.05
233,Cunha,BR,1549036800,-23.08,-44.96,93.2,41,0,2.24
234,Talnakh,RU,1549041346,69.49,88.39,-32.07,0,24,8.63
235,Havelock,US,1549040280,34.88,-76.9,55.94,38,1,8.05
236,Koumac,NC,1549041347,-20.56,164.28,75.35,92,76,10.09
237,Baghdad,IQ,1549040400,33.3,44.38,57.2,71,0,1.12
238,Ust-Nera,RU,1549041347,64.57,143.24,-50.29,0,0,2.04
239,Qarqin,AF,1549041348,37.41,66.03,49.88,72,80,14.34
240,Tabou,CI,1549041348,4.42,-7.36,82.24,100,80,12.1
241,Baie-Comeau,CA,1549037340,49.22,-68.15,-2.21,48,75,23.04
242,Jiazi,CN,1549036800,19.61,110.49,69.8,88,75,8.95
243,Cherskiy,RU,1549041349,68.75,161.3,-27.61,44,24,1.7
244,Nandikotkur,IN,1549041349,15.86,78.27,67.07,64,0,9.19
245,Mwinilunga,ZM,1549041350,-11.73,24.43,71.89,82,92,1.7
246,Longyearbyen,NO,1549039800,78.22,15.63,26.6,63,40,13.87
247,Beppu,JP,1549041350,33.3,131.49,34.94,79,0,7.74
248,Coahuayana,MX,1549041351,18.62,-100.35,78.41,28,0,3.04
249,Mao,DO,1549040400,19.55,-71.08,80.6,74,40,11.41
250,Mutis,CO,1549041351,6.23,-77.4,81.74,93,44,7.4
251,Calbuco,CL,1549040400,-41.77,-73.13,62.6,59,0,16.11
252,Bethel,US,1549039980,60.79,-161.76,14.0,83,90,9.17
253,Rocha,UY,1549041353,-34.48,-54.34,82.46,86,80,4.94
254,Melito di Porto Salvo,IT,1549036500,37.92,15.77,62.6,63,20,13.87
255,Rosarito,CO,1549040400,4.91,-75.23,77.0,88,75,8.05
256,Chapais,CA,1549039260,49.78,-74.86,-5.81,63,90,17.22
257,Mirnyy,RU,1549041355,56.57,36.46,25.76,92,92,7.4
258,Hermanus,ZA,1549041355,-34.42,19.24,74.23,57,0,10.76
259,Vostok,RU,1549041355,46.45,135.83,-6.6,55,0,4.94
260,Ziniare,BF,1549036800,12.58,-1.3,96.8,7,0,3.36
261,Port Lincoln,AU,1549041356,-34.72,135.86,67.25,92,0,12.77
262,Sur,OM,1549041357,22.57,59.53,72.11,99,0,14.23
263,Anaconda,US,1549039980,46.13,-112.94,23.0,74,1,4.7
264,Wanning,AT,1549039800,48.64,13.53,37.4,74,0,11.41
265,Hirtshals,DK,1549041358,57.59,9.96,34.76,100,88,13.67
266,Abu Samrah,SY,1549041358,35.3,37.18,48.58,86,24,12.21
267,Duncan,US,1549040460,34.5,-97.96,55.94,99,90,6.93
268,Tracy,US,1549040160,37.74,-121.43,55.94,93,1,6.96
269,Providencia,CO,1549040400,1.24,-77.6,62.6,93,75,9.17
270,Sarlat-la-Caneda,FR,1549038600,44.89,1.22,44.6,87,90,4.7
271,Laguna Beach,US,1549040280,33.54,-117.78,57.92,69,75,5.82
272,Warrnambool,AU,1549041361,-38.38,142.48,60.46,94,0,7.85
273,Leeuwarden,NL,1549040100,53.2,5.79,33.8,100,90,6.93
274,Bay Roberts,CA,1549039860,47.58,-53.28,17.6,85,75,17.22
275,Nantucket,US,1549040100,41.28,-70.1,21.02,40,1,10.29
276,Rome,IT,1549039800,41.89,12.48,57.2,87,75,18.34
277,Hinton,CA,1549041362,53.4,-117.57,5.83,70,88,3.15
278,Manuk Mangkaw,PH,1549041363,4.8,119.85,81.2,100,20,13.11
279,Severo-Kurilsk,RU,1549041363,50.68,156.12,29.36,100,68,12.21
280,Carnarvon,ZA,1549041363,-30.97,22.13,68.24,58,92,11.99
281,Jardim,BR,1549041084,-21.48,-56.15,86.74,77,20,5.17
282,Aklavik,CA,1549038780,68.22,-135.01,-20.21,74,40,4.7
283,Logumkloster,DK,1549039800,55.06,8.96,33.8,86,75,12.75
284,Taltal,CL,1549041365,-25.41,-70.49,72.34,72,8,4.83
285,Hamilton,BM,1549036500,32.3,-64.78,64.4,55,75,11.41
286,Dunedin,NZ,1549041222,-45.87,170.5,46.64,70,8,7.74
287,Saint George,GR,1549039800,39.45,22.34,51.8,66,20,2.93
288,Cloquet,US,1549040160,46.72,-92.46,3.2,64,90,5.82
289,Yeppoon,AU,1549038600,-23.13,150.74,77.0,69,40,6.93
290,Nanortalik,GL,1549041366,60.14,-45.24,29.45,98,88,18.03
291,Papenburg,DE,1549040100,53.08,7.39,33.8,88,90,5.82
292,The Valley,AI,1549036800,18.22,-63.06,80.6,57,40,16.11
293,Petauke,ZM,1549041367,-14.25,31.33,75.53,75,24,6.4
294,Kindersley,CA,1549036800,51.47,-109.16,3.2,84,90,16.11
295,Diamantina,BR,1549041368,-18.24,-43.6,91.78,26,0,7.85
296,Mount Gambier,AU,1549036800,-37.83,140.78,51.8,81,0,8.05
297,Yatou,CM,1549036800,3.63,9.81,87.8,74,20,4.7
298,Teguise,ES,1549038600,29.06,-13.56,68.0,77,75,17.22
299,Byron Bay,AU,1549038600,-28.65,153.62,71.6,94,90,8.86
300,Cayenne,GF,1549038600,4.94,-52.33,77.0,94,75,11.41
301,Verkhnevilyuysk,RU,1549041370,63.45,120.31,-38.73,0,12,5.5
302,Podzvizd,HR,1549038600,45.18,15.86,42.8,87,20,5.82
303,Yarada,IN,1549038600,17.65,83.27,69.8,83,0,2.24
304,Noumea,NC,1549040400,-22.28,166.46,75.2,83,90,1.12
305,Viedma,AR,1549041371,-40.81,-62.99,73.51,59,0,11.77
306,Pemba,MZ,1549040400,-12.97,40.52,82.4,78,20,8.05
307,Orlovskiy,RU,1549041371,46.87,42.05,31.52,93,88,9.75
308,Mareeba,AU,1549038600,-16.99,145.42,77.0,94,90,5.82
309,Isabela,PH,1549041372,10.2,122.99,68.38,92,12,3.04
310,Shimoda,JP,1549041372,34.7,138.93,46.64,100,0,7.18
311,Bilma,NE,1549041373,18.69,12.92,66.62,31,0,5.73
312,Huitziltepec,MX,1549041373,17.76,-99.48,78.14,35,24,2.26
313,Pizhma,RU,1549041373,57.86,47.12,19.37,90,88,4.83
314,Naze,NG,1549036800,5.43,7.07,93.2,52,40,2.24
315,Serenje,ZM,1549041374,-13.23,30.22,68.42,88,20,5.06
316,Jamame,SO,1549041374,0.07,42.75,78.95,73,0,12.21
317,Payo,ID,1549041374,-3.75,103.64,72.92,98,92,1.59
318,Whyalla,AU,1549036800,-33.04,137.58,68.0,68,0,3.36
319,Kieta,PG,1549041375,-6.22,155.63,77.24,100,36,3.49
320,Boysun,UZ,1549041375,38.2,67.2,23.15,71,56,1.36
321,Lianran,CN,1549036800,24.92,102.47,50.0,61,0,15.66
322,Sobolevo,RU,1549041376,54.43,31.9,33.91,97,92,10.42
323,Constitucion,MX,1549039680,23.99,-104.67,55.4,38,20,5.82
324,Heyang,CN,1549041377,26.1,107.47,48.94,95,92,11.21
325,Imeni Poliny Osipenko,RU,1549041377,52.42,136.49,-8.22,63,24,2.93
326,Baykit,RU,1549041377,61.68,96.39,-35.26,0,32,2.71
327,Barmer,IN,1549041377,25.74,71.4,52.22,75,0,9.53
328,Zhuhai,CN,1549036800,40.71,112.04,10.4,55,0,4.47
329,Zhigalovo,RU,1549041379,54.81,105.15,-17.62,24,24,4.94
330,Teknaf,BD,1549041379,20.86,92.31,58.34,92,0,3.04
331,Kandi,BJ,1549041379,11.13,2.93,86.56,24,8,5.73
332,Fevik,NO,1549039800,58.38,8.68,30.2,100,90,17.22
333,Neepawa,CA,1549036800,50.23,-99.46,8.6,78,90,13.87
334,Phitsanulok,TH,1549041380,16.82,100.26,75.13,80,88,2.93
335,Kavieng,PG,1549041380,-2.57,150.8,84.08,100,32,9.08
336,Birmitrapur,IN,1549041381,22.4,84.77,50.38,81,0,1.7
337,Tucurui,BR,1549041381,-3.77,-49.67,84.8,76,64,3.04
338,Gao,ML,1549041381,16.28,-0.04,81.02,19,0,2.71
339,Vila Franca do Campo,PT,1549038600,37.72,-25.43,59.0,58,20,5.82
340,Choya,RU,1549041382,52.01,86.55,-23.7,35,12,1.7
341,Abriaqui,CO,1549036800,6.63,-76.06,77.0,57,20,1.36
342,Puerto del Rosario,ES,1549038600,28.5,-13.86,69.8,64,40,19.46
343,Huarmey,PE,1549041134,-10.07,-78.15,81.43,55,20,4.94
344,Fredericton,CA,1549036800,45.97,-66.65,10.4,46,75,16.11
345,Lisakovsk,KZ,1549041383,52.55,62.49,6.32,80,24,10.09
346,Oriximina,BR,1549041383,-1.77,-55.87,87.91,68,44,3.49
347,Tiksi,RU,1549041384,71.64,128.87,-40.48,0,20,3.71
348,Kristiansund,NO,1549039800,63.12,7.73,33.8,47,0,24.16
349,Kruisfontein,ZA,1549041384,-34.0,24.73,69.32,88,76,17.81
350,Cranbrook,CA,1549040400,49.51,-115.76,41.0,64,90,10.29
351,Leh,IN,1549041385,34.16,77.58,-16.54,57,48,1.36
352,Adjuntas,PR,1549036200,18.16,-66.72,80.6,74,40,16.11
353,Khani,GE,1549038600,41.96,42.96,48.2,93,90,6.93
354,Trofors,NO,1549039800,65.54,13.39,28.4,78,0,4.7
355,Ribeira Grande,PT,1549038600,38.52,-28.7,60.8,72,75,5.82
356,Vao,EE,1549041387,59.1,26.19,26.48,90,92,11.1
357,Alegria,PH,1549041388,9.46,125.58,75.62,97,24,8.41
358,Tamandare,BR,1549041388,-8.28,-70.75,81.74,83,88,3.83
359,Banepa,NP,1549038000,27.63,85.52,48.2,87,20,2.82
360,Boa Vista,BR,1549040400,2.82,-60.67,91.4,43,75,11.41
361,Krivodol,HR,1549040400,43.64,16.81,55.4,87,75,17.22
362,Hasaki,JP,1549040400,35.73,140.83,30.2,58,20,4.7
363,Orasac,RS,1549040400,43.06,22.07,42.8,75,75,6.93
364,Egvekinot,RU,1549041391,66.32,-179.17,-22.35,31,12,2.71
365,Nishihara,JP,1549040400,35.74,139.53,35.6,75,1,3.36
366,Sao Filipe,CV,1549041392,14.9,-24.5,71.12,97,92,16.69
367,San Cristobal,EC,1549040400,-0.39,-78.55,68.0,60,75,10.29
368,Chaumont,FR,1549038600,48.11,5.14,44.6,81,90,2.24
369,Sola,NO,1549039800,58.89,5.65,35.6,51,40,12.75
370,Khasan,RU,1549041394,42.43,130.64,13.03,100,0,2.59
371,Griffith,AU,1549036800,-34.29,146.06,77.0,53,0,9.17
372,Komsomolskiy,RU,1549041395,67.55,63.78,-42.37,0,0,5.39
373,Vardo,US,1549040100,39.62,-77.74,21.2,83,90,4.7
374,Souillac,FR,1549038600,45.6,-0.6,46.4,81,40,4.7
